auct_id,item_leaf_category_name,listing_title,listing_subtitle,listing_start_date,listing_end_date,listing_durtn_days,listing_type_code,feedback_score_at_listing_time,start_price,buy_it_now_price,buy_it_now_listed_flag,bold_fee_flag,featured_fee_flag,category_featured_fee_flag,gallery_fee_flag,gallery_featured_fee_flag,ipix_featured_fee_flag,reserve_fee_flag,highlight_fee_flag,schedule_fee_flag,border_fee_flag,qty_available_per_listing,category_avg_gms
119,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,Apple iPod mini 4 GB (silver) mit Silikonh¸lle,,9/27/05,10/2/05,5,1,49,1,0,N,N,N,N,N,N,Y,N,N,N,N,1,167.977
120,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Gr¸n,Apple iPod MP3 mini Musicplayer 4GB gr¸n statt 199 Eur,,9/27/05,10/4/05,7,9,13783,175,0,N,N,N,N,N,N,N,N,N,N,N,1,164.757
121,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,ipod mini Silber!!! superedel!,2 monate alt!,9/30/05,10/7/05,7,1,26,1,0,N,N,N,N,N,N,N,N,N,Y,N,1,167.977
122,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,Apple iPod mini 4 GB silber MP3-Player / NEU + Garantie,,9/27/05,10/7/05,10,1,311,1,0,N,N,N,N,Y,N,Y,N,N,N,N,1,167.977
124,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau,"Apple, iPod mini, blau, OVP",,9/28/05,10/5/05,7,1,57,1,0,N,Y,N,N,Y,N,Y,N,N,Y,N,1,161.512
125,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,Apple ipod mini 4GB silber 2. Generation OVP wie neu,+ Silikon Skin einfdach der beste mp3 Player 4 GB,9/27/05,10/2/05,5,1,87,1,0,N,N,N,N,Y,N,Y,N,N,N,N,1,167.977
126,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,"iPod mini Silber, neuwertig mit OV P und Rechnung",,9/27/05,10/4/05,7,1,34,1,0,N,Y,N,N,Y,N,Y,N,Y,N,Y,1,167.977
129,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau,"Apple IPod Mini, 4 GB, blau, mit Zub., 14 Mon. Garantie",,9/28/05,10/3/05,5,1,87,100,0,N,N,N,N,Y,N,Y,N,N,Y,N,1,161.512
132,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,"Apple iPod mini 4 GB 2. Generation, silber mit Garantie",,9/28/05,10/1/05,3,1,57,1,0,N,N,N,N,N,N,N,N,N,Y,N,1,167.977
133,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,AppLe IPod Mini Silber 3.GEN OVP!100% OK! nur 2xbenutzt,,9/28/05,10/3/05,5,1,58,1,0,N,N,N,N,Y,N,N,N,N,N,N,1,167.977
134,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Gold,IPOD mini GOLD TOP MP3-Player von APPLE,,9/28/05,10/3/05,5,1,33,1.99,0,N,N,N,N,N,N,N,N,N,N,N,1,158.578
136,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau,SOFORT LIEFERBAR: iPod mini 4GB blau NEU (kein nano),,9/28/05,10/4/05,6,9,135,178.88,0,N,N,N,N,N,N,N,N,N,N,N,5,161.512
139,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,Apple iPODmini silver4GB!NEU! OVP! Model 2005! 2generat,,9/28/05,10/1/05,3,1,12,1,0,N,N,N,N,Y,N,Y,N,N,Y,N,1,167.977
140,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,Apple iPod Mini Silver 4GB MP3 Player unbenutzt,,9/28/05,10/1/05,3,1,231,100,169,Y,N,N,N,N,N,N,N,N,N,N,1,167.977
141,Audio & Hi-Fi:MP3-Player:Apple iPod:40 GB,Apple iPod 40GB OVP + super viel Zubehˆr,,9/28/05,10/5/05,7,1,131,1,0,N,Y,N,N,Y,N,N,N,N,Y,N,1,221.153
144,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,"Apple iPod mini, 4 GB, silber OVP",,9/28/05,10/5/05,7,1,370,1,0,N,N,N,N,Y,N,N,N,N,Y,N,1,167.977
147,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,"Apple iPod Mini, Silber, 4Gb mit Restgarantie!",,9/28/05,10/3/05,5,1,151,1,0,N,N,N,N,Y,N,Y,N,N,N,N,1,167.977
149,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 6 GB:Silber,iPod Mini 6GB Silber + Logic3 Sound i-Station,,9/28/05,10/1/05,3,1,353,180,0,N,N,N,N,Y,N,N,N,N,Y,N,1,197.022
151,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Gr¸n,"iPod mini green -neu, unbenutzt und OVP-",,9/30/05,10/7/05,7,1,62,1,0,N,N,N,N,N,N,Y,N,N,Y,N,1,164.757
156,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau,iPod Mini 4 GB blau + iTrip Mini in sehr gutem Zustand,"in der Originalverpackung, sehr g¸nstiger Versand",9/29/05,10/4/05,5,1,17,1,0,N,Y,N,N,Y,N,N,N,N,Y,N,1,161.512
158,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,Apple iPod mini 4GB 1000 songs PC + MAC silber NEU/OVP,,9/29/05,10/9/05,10,1,403,1,0,N,N,N,N,Y,N,N,N,N,N,N,1,167.977
163,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Pink,ipod i pod mini 4 gb pink rosa,,9/29/05,10/2/05,3,1,67,100,200,Y,Y,N,N,Y,N,Y,N,N,N,N,1,173.45
164,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Gr¸n,Apple iPod mini 4GB - gr¸n,,9/29/05,10/9/05,10,1,126,1,0,N,N,N,N,Y,N,N,N,N,N,N,1,164.757
165,Audio & Hi-Fi:MP3-Player:Apple iPod:40 GB,IPOD - APPLE - 40 GB - 4. GENERATION - OVP - TOPZUSTAND,,9/29/05,10/9/05,10,1,1166,1.99,0,N,N,N,N,N,N,N,N,N,N,N,1,221.153
166,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Gr¸n,"Ipod Mini 4 GB 4GB gr¸n, 2. Gen. m. H¸lle und Garantie",,9/29/05,10/2/05,3,1,57,1,0,N,N,N,N,Y,N,N,N,N,N,N,1,164.757
168,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Gold,Apple iPod mini 4GB Gold  TOP,,9/29/05,10/2/05,3,1,0,99.99,0,N,N,N,N,Y,N,N,N,N,N,N,1,158.578
171,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,Apple Ipod mini 4gb silber,,9/29/05,10/2/05,3,1,35,80,140,Y,N,N,N,N,N,N,N,N,N,N,1,167.977
172,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau,"Apple iPod 4GB mit Kaufbeleg, kompl. Zubehˆr und OVP",,9/29/05,10/9/05,10,1,11,1,0,N,Y,N,N,Y,N,N,N,N,N,N,1,161.512
175,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Gr¸n,iPod mini! NAGELNEU+ ZUBEH÷R!1000 songs!ORIGINAL!,,9/29/05,10/9/05,10,1,46,1,170,Y,N,N,N,Y,N,N,N,N,N,N,1,164.757
177,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Gr¸n,iPod mini 4GB gr¸n NEUWERTIG inkl. iTrip mini,mit Restgarantie,9/29/05,10/2/05,3,1,67,1,0,N,N,N,N,N,N,Y,N,N,N,N,1,164.757
178,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau,Apple iPod mini blau fast neu in OVP,,9/29/05,10/4/05,5,1,240,1,0,N,N,N,N,Y,N,N,N,N,N,N,1,161.512
180,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,IPod Mini Silber 4 GB  2 monate alt,,9/29/05,10/6/05,7,1,4,1,0,N,Y,N,N,Y,N,N,N,N,N,N,1,167.977
181,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau,Apple I-Pod Mini(4GB)+Lade-Stecker Absolut Neu!!!!!,,9/29/05,10/4/05,5,1,27,1,0,N,N,N,N,Y,N,N,N,N,N,N,1,161.512
184,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,! ! ipod mini silber  4 GB apple OVP mit Garantie ! !,,9/29/05,10/9/05,10,1,58,1,0,N,N,N,N,Y,N,Y,N,N,N,N,1,167.977
186,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,Apple iPod 4GB silber; OVP; 1 1/2 Jahre Restgarantie,,9/29/05,10/2/05,3,1,41,1,0,N,N,N,N,N,N,N,N,N,N,N,1,167.977
192,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,Apple iPod mini 4 GB silber plus 2 iPod Socken,,9/30/05,10/5/05,5,1,22,1,0,N,N,N,N,N,N,N,N,N,N,N,1,167.977
195,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,"Apple iPod mini - silber, neuwertig & OVP",,9/30/05,10/3/05,3,1,3,1,0,N,N,N,N,Y,N,N,N,N,N,N,1,167.977
196,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Pink,***Apple iPod mini 4GB ***SUPER-ANGEBOT***,,9/30/05,10/7/05,7,1,5,1,0,N,Y,N,N,Y,N,Y,N,N,Y,Y,1,173.45
197,Audio & Hi-Fi:MP3-Player:Apple iPod:40 GB,IPOD 3 Mon. jung mit Rechnung  40 GB !!,,9/30/05,10/10/05,10,1,138,1,277,Y,N,N,N,N,N,N,N,N,Y,N,1,221.153
199,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Pink,iPod Mini 4 GB Pink 6 Monate Alt mit Garantie,,9/30/05,10/3/05,3,1,0,1,0,N,N,N,N,N,N,Y,N,N,N,N,1,173.45
201,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,Ipod Mini 4GB Blau Top Zustand!!!,,9/30/05,10/3/05,3,1,108,1,0,N,N,N,N,Y,N,Y,N,N,Y,N,1,167.977
203,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau,"NEU! iPod mini blue, 4GB, OVP und eingeschweiﬂt!",,10/2/05,10/9/05,7,1,41,1,0,N,N,N,N,Y,N,Y,N,N,Y,N,1,161.512
206,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,iPod Mini 4GB - OVP - wie NEU!,,9/30/05,10/3/05,3,1,81,1,0,N,Y,N,N,Y,N,N,N,N,N,N,1,167.977
212,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Gr¸n,APPLE iPod MINI Musicplayer 4GB Mac + Win USB 2.0 GR‹N,,9/30/05,10/8/05,8,9,11274,177,0,N,N,N,N,N,N,N,N,N,N,N,4,164.757
214,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Gold,Apple IPOD Mini Gold (4 GB) + Griffin ITRIP Mini,2  x  ISkin Evo  (LaRouge + Ice) + Displayfolie,10/2/05,10/9/05,7,1,138,1,0,N,N,N,N,Y,N,Y,N,N,Y,N,1,158.578
215,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,Apple iPOD MINI 4G silber,,10/1/05,10/8/05,7,1,23,1,0,N,N,N,N,Y,N,Y,N,N,Y,N,1,167.977
220,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,Ipod mini silber 4 GB,,10/1/05,10/6/05,5,1,2,1,0,N,N,N,N,N,N,N,N,N,Y,N,1,167.977
223,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau,Speichergigant:  Apple iPod Mini blau - NEU MP3 - 4GB,,10/1/05,10/8/05,7,1,240,1,0,N,N,N,N,N,N,N,N,N,N,N,1,161.512
228,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,Apple iPODmini silver4GB!NEU! OVP! Model 2005! 2generat,,10/1/05,10/4/05,3,1,14,1,0,N,N,N,N,Y,N,Y,N,N,N,N,1,167.977
