auct_id,item_leaf_category_name,listing_title,listing_subtitle,listing_start_date,listing_end_date,listing_durtn_days,listing_type_code,feedback_score_at_listing_time,start_price,buy_it_now_price,buy_it_now_listed_flag,bold_fee_flag,featured_fee_flag,category_featured_fee_flag,gallery_fee_flag,gallery_featured_fee_flag,ipix_featured_fee_flag,reserve_fee_flag,highlight_fee_flag,schedule_fee_flag,border_fee_flag,qty_available_per_listing,gms,category_avg_gms,gms_greater_avg
87,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau,"IPOD Mini 4GB+Armband+Dockingstation,noch 1JahrGarantie",,9/26/05,10/1/05,5,1,62,1,0,N,N,N,N,Y,N,N,N,N,N,N,1,156.59,161.512,0
89,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,iPod mini 4GB silber neuwertig,,9/26/05,10/6/05,10,1,40,1,0,N,N,N,N,N,N,N,N,N,N,N,1,151,167.977,0
92,Audio & Hi-Fi:MP3-Player:Apple iPod:40 GB,iPod 4. Generation 40GB defekt + Dock Connector,,9/26/05,10/3/05,7,1,63,1,0,N,N,N,N,N,N,N,N,N,N,N,1,126.99,221.153,0
95,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Pink,Apple Mini iPod 4GB f¸r PC und Mac Pink,zus‰tzlich mit  Dock-Station,9/27/05,10/2/05,5,1,2,1,0,N,Y,N,N,N,N,Y,N,N,Y,N,1,146.98,173.45,0
96,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Gr¸n,IPod mini 4GB gr¸n,Apple IPod mini in gr¸n mit 4 GB,9/26/05,10/1/05,5,1,31,1,0,N,N,N,N,N,N,N,N,N,N,N,1,166.01,164.757,1
99,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Gr¸n,Apple Ipod mini 4GB; neuwertig,,9/26/05,10/3/05,7,1,2,1,0,N,Y,N,N,Y,N,Y,N,N,N,N,1,148.93,164.757,0
100,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,Ipod mini 4GB Silber top,,9/26/05,10/1/05,5,1,60,1,0,N,N,N,N,N,N,N,N,N,N,N,1,136,167.977,0
103,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,iPod mini 4GB + LADEGERƒT! Sehr guter Zustand + OVP,,9/27/05,10/2/05,5,1,3,1,0,N,N,N,N,Y,N,Y,N,N,Y,N,1,127.9,167.977,0
109,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,i pod mini 4GB in silber,,9/27/05,10/4/05,7,1,52,1,0,N,N,N,N,N,N,N,N,N,N,N,1,151,167.977,0
112,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau,"Apple iPod MP3 mini Player 4GB blau statt 199,00 Euro",Sofort lieferbar bei Nachnahme sogar noch heute*,9/27/05,10/4/05,7,9,13782,176,0,N,N,N,N,Y,N,N,N,N,N,Y,4,176,161.512,1
117,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,iPod mini 4 GB Silber mit Garantie incl. Lederetui,,9/27/05,10/2/05,5,1,44,1,0,N,Y,N,N,Y,N,Y,N,N,N,N,1,131,167.977,0
118,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau,Apple iPod Mini 4GB blau,4 Monate alt mit Rechnung,9/27/05,10/2/05,5,1,58,1,0,N,N,N,N,N,N,N,N,N,N,N,1,131,161.512,0
123,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,"Apple ipod Mini 4GB silber, originalverpackt, unbenutzt",,9/28/05,10/5/05,7,1,11,1,0,N,N,N,N,Y,N,Y,N,N,Y,N,1,166.5,167.977,0
127,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau,Apple iPod Mini * 4 GB * Blau * Neuwertig *,,9/29/05,10/9/05,10,1,168,1,170,Y,N,N,N,Y,N,N,N,N,Y,N,1,151,161.512,0
128,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,Apple iPod MP3 mini Player 4GB silber statt 199 Euro,,9/27/05,10/4/05,7,9,13786,179,0,N,N,N,N,N,N,N,N,N,N,N,1,179,167.977,1
130,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,Nagelneuer ipod Mini Silber 4 GB orig. Verpackt,,9/28/05,10/3/05,5,1,51,1,0,N,Y,N,N,Y,N,Y,N,N,Y,N,1,169.69,167.977,1
131,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau,Neuer Apple iPOT mini 4Gb     Mp3 player,,9/28/05,10/1/05,3,1,26,1,0,N,N,N,N,Y,N,Y,N,N,Y,N,1,153.99,161.512,0
135,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau,SOFORT LIEFERBAR: iPod mini 4GB blau NEU (kein nano),,9/28/05,10/8/05,10,1,135,1,0,N,N,N,N,N,N,N,N,N,N,N,1,156.89,161.512,0
137,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,Apple iPod Mini Silber - inkl. Fernbedienung und H¸lle!,,9/28/05,10/5/05,7,1,67,1,0,N,Y,N,N,Y,N,Y,N,N,N,N,1,162,167.977,0
138,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,Apple iPod Mini Silber - inkl. Fernbedienung und H¸lle!,,9/28/05,10/5/05,7,1,67,1,0,N,Y,N,N,Y,N,Y,N,N,Y,N,1,172,167.977,1
142,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Gr¸n,"iPod mini - 4 GB, gr¸n, NEUwertig + komlettes Zubehˆr!",,9/28/05,10/8/05,10,1,79,1,0,N,Y,N,N,N,N,N,N,N,Y,N,1,152.36,164.757,0
143,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,iPod Mini 4GB silber - NEU & OVP,,9/28/05,10/5/05,7,1,72,1.99,0,N,N,N,N,N,N,N,N,N,N,N,1,171,167.977,1
145,Audio & Hi-Fi:MP3-Player:Apple iPod:40 GB,APPLE iPod  40 GB +  iTrip + AKG Kopfhˆrer + Etui,,9/28/05,10/6/05,8,9,27,239.95,0,N,N,N,N,N,N,Y,N,N,N,N,1,239.95,221.153,1
146,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,Apple iPod Mini 4GB silber+ iSkin Exo3 mini Schutzh¸lle,,9/28/05,10/8/05,10,1,22,1,0,N,Y,N,N,Y,N,N,N,N,N,N,1,146,167.977,0
148,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,IPOD MINI 4GB / NAGELNEU DIREKT VON APPLE !,IPOD MiNI NEUSTE GENERATION !,9/28/05,10/5/05,7,1,296,1,0,N,N,N,N,Y,N,N,N,N,N,N,1,164,167.977,0
150,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Pink,"Apple iPod mini, 4GB in pink",,9/28/05,10/3/05,5,1,110,50,0,N,N,N,N,N,N,N,N,N,N,N,1,157.65,173.45,0
152,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,Apple iPod mini 4GB silber USB FireWire PC MAC *OVP*,,9/29/05,10/9/05,10,1,283,1,149,Y,N,N,N,Y,N,Y,N,N,Y,N,1,131,167.977,0
153,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau,Original APPLE iPod Blue**1. Gen.**NEU*OVP*,,9/28/05,10/5/05,7,1,11,50,0,N,Y,N,N,Y,N,N,N,N,N,N,1,141.02,161.512,0
154,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Gr¸n, OVP IPOD 4GB NEU  NEU ,,9/29/05,10/9/05,10,1,30,1,0,N,N,N,N,Y,N,N,N,N,N,N,1,151,164.757,0
155,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,Apple iPod mini 4GB silber / silver,,9/29/05,10/9/05,10,1,5,1,0,N,N,N,N,N,N,N,N,N,N,N,1,158.56,167.977,0
157,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,Apple iPod Mini 4GB in silber,,10/2/05,10/9/05,7,1,488,100,0,N,N,N,N,N,N,Y,N,N,Y,N,1,131.11,167.977,0
159,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau,Apple iPod mini Tragbarer MP3-Player 4GB Blue,,9/29/05,10/6/05,7,1,97,1,0,N,N,N,N,Y,N,N,N,N,N,N,1,166.1,161.512,1
160,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Gr¸n,Apple iPod mini Gr¸n  2. Generation OVP + Rechnung,"+ viel Zubehˆr (Boostaroo, Shure Kopfhˆrer!!......)",9/29/05,10/6/05,7,1,105,1,0,N,N,N,N,N,N,N,N,N,Y,N,1,177,164.757,1
161,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau,Ipod Mini 4 GB Blau fast NEU/OVP + Zubehˆr und Garantie,,9/29/05,10/2/05,3,1,58,1,0,N,N,N,N,Y,N,N,N,N,Y,N,1,151,161.512,0
162,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,"Apple iPod Mini, MP3 Player, silber, 4 GB, Mac/Windows","Neu! Keine Gebrauchsspuren, Originalverp. und Garantie!",9/29/05,10/9/05,10,1,56,49.95,169,Y,N,N,N,Y,N,Y,N,N,Y,Y,1,158.89,167.977,0
167,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,ipod mini *neuwertig* in OVP mit Autoladekabel,gekauft am 15.07.2005 (mit Rechnung),9/29/05,10/9/05,10,1,113,1,0,N,N,N,N,Y,N,N,N,N,Y,N,1,161.01,167.977,0
169,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Gr¸n,iPod mini (gr¸n) Ger‰t 4 GB - 1000 Songs in OVP w. NEU,,9/29/05,10/9/05,10,1,661,1.99,0,N,N,N,N,Y,N,N,N,N,N,N,1,159.99,164.757,0
170,Audio & Hi-Fi:MP3-Player:Apple iPod:40 GB,== iPod 3 Generation (beste) == 40GB == TOP und OVP,,9/29/05,10/8/05,9,9,60,259,0,N,N,N,N,Y,N,Y,N,N,N,N,1,259,221.153,1
173,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Pink,Ipod Mini 4GB! PINK wie neu + Zubehˆr!,,10/2/05,10/9/05,7,1,28,90.99,0,N,N,N,N,Y,N,Y,N,N,Y,N,1,187,173.45,1
174,Audio & Hi-Fi:MP3-Player:Apple iPod:40 GB,Original IPog 40GB Klickwheel letztes Modell,,9/29/05,10/2/05,3,1,33,1,0,N,N,N,N,N,N,N,N,N,N,N,1,228.77,221.153,1
176,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,Apple iPod mini 4GB  silber *unbenutzt,,9/29/05,10/2/05,3,1,26,99,0,N,N,N,N,N,N,N,N,N,N,N,1,137,167.977,0
179,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,"IPOD Mini 4GB Silver, incl. Zubehˆr",,9/29/05,10/2/05,3,1,65,1,0,N,N,N,N,N,N,N,N,N,N,N,1,124.99,167.977,0
182,Audio & Hi-Fi:MP3-Player:Apple iPod:40 GB,"iPod Photo 40GB, Top-Zubehˆr, erst 9 Monate alt, uvm...","itrip, italk, power pod, In-Ear Headph., KFZ-Halterung",9/29/05,10/4/05,5,1,327,1,0,N,Y,N,N,N,N,Y,N,Y,N,N,1,302.01,221.153,1
183,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,APPLE iPod MINI  4GB Mac + Win USB 2.0 NEU,,9/29/05,10/4/05,5,1,167,1,185,Y,N,N,N,Y,N,Y,N,N,N,N,1,157.09,167.977,0
185,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau,Apple IPod 4Gb blau -  Originalverpackt,,9/29/05,10/4/05,5,1,27,1.99,0,N,N,N,N,N,N,Y,N,N,N,N,1,135,161.512,0
187,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,Apple iPod Mini Silber 4GB OVP -NEU-    Garantie,,9/29/05,10/9/05,10,1,36,1,0,N,N,N,N,N,N,N,N,N,N,N,1,159,167.977,0
188,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau,iPod mini 4GB Neu originalverpackt,,9/29/05,10/9/05,10,1,11,1,0,N,N,N,N,N,N,N,N,N,N,N,1,153,161.512,0
189,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau,"Ipod Mini 4 GB, 4 Monate alt, aber Top Zustand !!!",,10/2/05,10/9/05,7,1,5,1,0,N,N,N,N,N,N,N,N,N,Y,N,1,141.99,161.512,0
190,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,Apple iPod Mini 4 GB - Silber - NEU - Ungeˆffnet - OVP,Bis zu 1000 songs!!! Passt perfekt in die Hosentasche!!,9/29/05,10/9/05,10,9,1324,179,0,N,N,N,N,Y,N,N,N,Y,N,N,8,179,167.977,1
191,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,@@@@Apple Ipod Mini + Zubehˆr 3 Monate alt wie neu@@@@@,,10/1/05,10/8/05,7,1,444,1,0,N,N,N,N,Y,N,Y,N,N,Y,N,1,151,167.977,0
193,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Gr¸n,iPod MINI 4 GB mit viel Zubehˆr ! NEUWERTIG !,mit Altec Lansing Stereo Boxen + iTrip f¸rs Auto!! NEU,9/30/05,10/7/05,7,1,250,1,160,Y,N,N,N,Y,N,Y,N,N,Y,Y,1,196.96,164.757,1
194,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau,SOFORT LIEFERBAR: iPod mini 4GB blau NEU (kein nano),,9/30/05,10/8/05,8,9,136,178.88,0,N,N,N,N,N,N,N,N,N,N,N,5,178.88,161.512,1
198,Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,+++ I POD MINI 4GB +++,,9/30/05,10/3/05,3,1,60,1,0,N,N,N,N,N,N,N,N,N,Y,N,1,158,167.977,0
